chi_target,theta1,sigma,Seed,Closure,mc_mean_hz,bias_hz_50ms,rmse_hz_50ms,crmse_hz_50ms,mc_std_hz_50ms,nrmse_50ms,centered_nrmse_50ms,mc_mean_hz_50ms,closure_mean_hz_50ms,mass_min,mass_final,mass_error_max,tail_mass_max,cum_leak_final,runtime_s,pde_kappa,use_jensen,dr,dt,R_max,dynamic_joint_moments,min_cov_eigenvalue,covariance_projection_total
0.18,1500.0,0.004,1,joint_gaussian,8.150300000000001,0.009534840071976998,0.10087576703779183,0.10042413654229082,0.10733677315169678,0.9398062199543324,0.935598617263848,8.150300000000001,8.15983484007198,0.9999977926392327,0.9999977926392327,2.20736076728123e-06,3.0177856550401886e-06,2.2073607661444e-06,28.8512471330032,2.0,False,0.001,0.0001,2.0,True,-1.6543612251060553e-24,2.1040398301908806e-11
0.18,1500.0,0.004,2,mean_only,8.1722,-1.0478958800478577,1.0527062253949584,0.10052174672192428,0.10796489428160155,9.750449277051267,0.9310595577460249,8.1722,7.124304119952144,0.9999819987858619,0.9999819987858619,1.8001214138085864e-05,1.5839886178014676e-05,1.80012141372165e-05,8.490136473992607,2.0,False,0.001,0.0001,2.0,False,0.0,0.0
0.18,1500.0,0.004,2,variance_corrected,8.1722,0.22425131183009575,0.24586194914479312,0.10079408305926493,0.10796489428160155,2.2772397526136494,0.9335820104298606,8.1722,8.396451311830097,0.999998811492991,0.999998811492991,1.18850700903117e-06,1.8416916710028977e-06,1.1885070082197288e-06,8.723470060009276,2.0,True,0.001,0.0001,2.0,False,0.0,0.0
0.18,1500.0,0.004,2,joint_gaussian,8.1722,-0.012887631066074276,0.10150821200604541,0.10068677207145446,0.10796489428160155,0.9401964655407768,0.9325880670881427,8.1722,8.159312368933927,0.9999977933283176,0.9999977933283176,2.2066716823809784e-06,3.023713120745702e-06,2.2066716802039115e-06,28.789102151000407,2.0,False,0.001,0.0001,2.0,True,-3.308722450212111e-24,2.3908425701699805e-11
0.18,1500.0,0.004,3,mean_only,8.150266666666667,-1.034546469017738,1.0392523083791014,0.0987874684067831,0.10439547405662972,9.954955593336882,0.9462811419697703,8.150266666666667,7.115720197648931,0.9999816338624405,0.9999816338624405,1.836613755945571e-05,1.6189971151489644e-05,1.8366137556818722e-05,8.541963595998823,2.0,False,0.001,0.0001,2.0,False,0.0,0.0
0.18,1500.0,0.004,3,variance_corrected,8.150266666666667,0.23621944437771736,0.25658939521152563,0.10019227431742919,0.10439547405662972,2.457859380688647,0.9597377206513715,8.150266666666667,8.386486111044386,0.9999987822694049,0.9999987822694049,1.2177305951377448e-06,1.8801301631920787e-06,1.2177305939738187e-06,11.006719755998347,2.0,True,0.001,0.0001,2.0,False,0.0,0.0
0.18,1500.0,0.004,3,joint_gaussian,8.150266666666667,-0.0006240653264220934,0.09983309221148853,0.09983114164916641,0.10439547405662972,0.9562971298672747,0.9562784455101246,8.150266666666667,8.149642601340247,0.9999977417614235,0.9999977417614235,2.258238576469118e-06,3.082649843821058e-06,2.258238574578465e-06,29.305445845006034,2.0,False,0.001,0.0001,2.0,True,-3.308722450212111e-24,2.4030479168985753e-11
0.18,1500.0,0.004,4,mean_only,8.179666666666668,-1.0559678960376686,1.0593022056694064,0.08398193540189818,0.08632875808403459,12.270559998537856,0.9728152850310674,8.179666666666668,7.123698770629,0.9999818256725256,0.9999818256725256,1.8174327474418384e-05,1.6051608194405868e-05,1.817432747373406e-05,8.5166008160013,2.0,False,0.001,0.0001,2.0,False,0.0,0.0
0.18,1500.0,0.004,4,variance_corrected,8.179666666666668,0.21608995762972724,0.23225826600995417,0.08514124935384332,0.08632875808403459,2.6903927632535627,0.98624434363998,8.179666666666668,8.395756624296395,0.9999987977636817,0.9999987977636817,1.2022363182762064e-06,1.842361061224756e-06,1.20223631492008e-06,10.28164774099423,2.0,True,0.001,0.0001,2.0,False,0.0,0.0
0.18,1500.0,0.004,4,joint_gaussian,8.179666666666668,-0.021031807965535776,0.08742371257573331,0.08485616403199743,0.08632875808403459,1.0126835427266643,0.9829420220478129,8.179666666666668,8.158634858701133,0.999997769098608,0.999997769098608,2.230901391953033e-06,3.0298261213290185e-06,2.230901387829664e-06,34.00055221200455,2.0,False,0.001,0.0001,2.0,True,-3.308722450212111e-24,2.3935797080445283e-11
