amplitude,time_s,input_u,mc_hz,mean_only_hz,variance_corrected_hz,joint_gaussian_hz
0.006,5.273000000000001,0.006,8.119665764924349,7.156094089283641,8.433366152186748,8.175533062568826
0.006,5.274,0.006,8.120355725996598,7.1560940695663255,8.433366150667124,8.175533059940825
0.006,5.275,0.006,8.121146603676745,7.15609404984901,8.433366149147503,8.175533057312844
0.006,5.276000000000001,0.006,8.122047435544863,7.156094030131703,8.433366147627885,8.175533054684845
0.006,5.277,0.006,8.123059490251856,7.156094010414386,8.43336614610826,8.175533052056863
0.006,5.2780000000000005,0.006,8.124183889342765,7.156093990697077,8.433366144588636,8.175533049428873
0.006,5.279,0.006,8.125429558537254,7.156093970979755,8.433366143069009,8.175533046800876
0.006,5.28,0.006,8.126798734219506,7.156093951262444,8.43336614154939,8.17553304417289
0.006,5.281000000000001,0.006,8.128292679926393,7.156093931545133,8.43336614002977,8.175533041544904
0.006,5.282,0.006,8.129916532086638,7.156093911827817,8.433366138510145,8.17553303891691
0.006,5.283,0.006,8.131653836448631,7.156093892110501,8.433366136990516,8.175533036288925
0.006,5.284000000000001,0.006,8.13351632519784,7.156093872393191,8.433366135470898,8.175533033660933
0.006,5.285,0.006,8.13549534453423,7.156093852675879,8.433366133951278,8.175533031032948
0.006,5.2860000000000005,0.006,8.137593169725527,7.156093832958566,8.433366132431653,8.175533028404956
0.006,5.287,0.006,8.139801383402808,7.156093813241257,8.433366130912036,8.175533025776957
0.006,5.288,0.006,8.14210980237803,7.156093793523941,8.43336612939241,8.175533023148967
0.006,5.289000000000001,0.006,8.144521039384182,7.156093773806626,8.433366127872782,8.175533020520977
0.006,5.29,0.006,8.14701023206927,7.1560937540893175,8.433366126353162,8.175533017892992
0.006,5.291,0.006,8.149568237801743,7.156093734372002,8.433366124833542,8.175533015265001
0.006,5.292,0.006,8.152189789077964,7.156093714654685,8.43336612331392,8.17553301263702
0.006,5.293,0.006,8.154866822568296,7.156093694937383,8.433366121794293,8.17553301000903
0.006,5.2940000000000005,0.006,8.157575207931936,7.156093675220063,8.43336612027467,8.175533007381032
0.006,5.295,0.006,8.160312095036629,7.156093655502757,8.433366118755046,8.175533004753042
0.006,5.296,0.006,8.163064242362973,7.156093635785443,8.433366117235423,8.175533002125052
0.006,5.297000000000001,0.006,8.165812367646884,7.15609361606813,8.433366115715796,8.17553299949707
0.006,5.298,0.006,8.168543039698495,7.156093596350815,8.433366114196183,8.175532996869077
0.006,5.299,0.006,8.171243425155465,7.156093576633505,8.433366112676557,8.17553299424109
0.006,5.3,0.006,8.173904364321047,7.156093556916196,8.433366111156936,8.175532991613098
0.006,5.301,0.006,8.176505538089247,7.15609353719889,8.433366109637308,8.175532988985108
0.006,5.3020000000000005,0.006,8.17904471756055,7.1560935174815725,8.433366108117692,8.175532986357114
0.006,5.303,0.006,8.181503694636922,7.1560934977642585,8.433366106598069,8.17553298372912
0.006,5.304,0.006,8.18387189978448,7.156093478046944,8.433366105078449,8.17553298110114
0.006,5.305000000000001,0.006,8.186127633810775,7.156093458329639,8.433366103558816,8.17553297847315
0.006,5.306,0.006,8.188276239588633,7.156093438612329,8.433366102039203,8.17553297584516
0.006,5.307,0.006,8.190309537352501,7.1560934188950185,8.433366100519576,8.175532973217166
0.006,5.308,0.006,8.192225353020135,7.156093399177704,8.43336609899995,8.17553297058917
0.006,5.309,0.006,8.194013277596989,7.15609337946039,8.433366097480334,8.175532967961185
0.006,5.3100000000000005,0.006,8.195669661054872,7.15609335974308,8.43336609596071,8.175532965333197
0.006,5.311,0.006,8.197192948900176,7.15609334002577,8.433366094441084,8.175532962705208
0.006,5.312,0.006,8.198582777053604,7.156093320308463,8.433366092921467,8.175532960077216
0.006,5.313000000000001,0.006,8.199848006044508,7.156093300591149,8.43336609140184,8.175532957449228
0.006,5.314,0.006,8.200977629188808,7.15609328087384,8.433366089882218,8.175532954821236
0.006,5.315,0.006,8.201990054961358,7.156093261156526,8.433366088362597,8.175532952193251
0.006,5.316,0.006,8.20288165948888,7.156093241439216,8.433366086842971,8.175532949565259
0.006,5.317,0.006,8.20366433462361,7.156093221721904,8.43336608532335,8.175532946937274
0.006,5.3180000000000005,0.006,8.20434355760237,7.156093202004592,8.433366083803737,8.175532944309275
0.006,5.319,0.006,8.204940478421415,7.1560931822872895,8.433366082284104,8.175532941681292
0.006,5.32,0.006,8.205448740317117,7.156093162569971,8.43336608076448,8.175532939053298
