age_s,count,mean_v,mean_a,var_v,var_a,cov_va,term_v,term_a,term_cov,hazard_empirical_hz,hazard_mean_hz,hazard_voltage_only_hz,hazard_full_gaussian_hz
0.11750000000000001,1179152.0,-2.3103003418382743e-05,-5.53610636320908e-07,8.866297882635721e-08,5.885812336141469e-10,2.925072606783258e-09,0.17732595765271442,0.028263670838151338,-0.057331423092951854,8.22644266377337,7.093787332500523,8.470125580436722,8.227461996950444
0.1225,1133217.0,-2.2973186395169002e-05,-7.688425566651047e-07,8.85299290811893e-08,5.891811193255766e-10,2.9323290484043976e-09,0.17705985816237862,0.02829247735001419,-0.057473649348726195,8.241535668935612,7.1106117739165695,8.487955362707234,8.24384589964945
0.1275,1102176.0,-2.3351981594455783e-05,-9.497716905534253e-07,8.845227425546019e-08,5.883985808542321e-10,2.929717699466745e-09,0.17690454851092038,0.028254899852620228,-0.0574224669095482,8.249742016302594,7.117836375364543,8.495259889518584,8.25105260615337
0.1325,1043556.0,-2.3297168499395298e-05,-1.138766873531116e-06,8.847094015065092e-08,5.887410561977634e-10,2.9461446280556235e-09,0.17694188030130184,0.0282713455186166,-0.05774443470989022,8.263019491395255,7.131813702903288,8.512259841821255,8.265038334802439
0.1375,1002272.0,-2.3156048573469343e-05,-1.280437371749822e-06,8.828055525451761e-08,5.882814782361434e-10,2.936860877069423e-09,0.17656111050903522,0.028249276584899605,-0.057562473190560695,8.27418157212739,7.143738145208356,8.523246386999983,8.277029127611533
0.14250000000000002,958455.0,-2.2994308691493337e-05,-1.4563491069835816e-06,8.847002482706385e-08,5.888984296624032e-10,2.931547039799161e-09,0.17694004965412768,0.0282789025923886,-0.05745832198006355,8.296074193156425,7.158379323362118,8.543951908537425,8.2982465556746
0.1475,927993.0,-2.3375768575255118e-05,-1.6112028254379911e-06,8.861324766789158e-08,5.87946885691712e-10,2.934908400801122e-09,0.17722649533578316,0.02823320945091601,-0.05752420465570199,8.303222612376304,7.163783409336209,8.552851583438668,8.305963499041072
0.1525,883295.0,-2.3427034887707013e-05,-1.7644499968513876e-06,8.859476510934722e-08,5.881509233898006e-10,2.928931734764727e-09,0.17718953021869444,0.02824300734117822,-0.057407062001388655,8.316204254432247,7.173814634008862,8.564511283363808,8.318342495972153
0.1575,849953.0,-2.368788089423786e-05,-1.910392887759637e-06,8.857118096500231e-08,5.877683728062758e-10,2.9316814177742833e-09,0.17714236193000463,0.028224637262157362,-0.05746095578837595,8.322787500488547,7.180335352972654,8.57189176058422,8.324909225101559
0.1625,812037.0,-2.3274490160328434e-05,-2.050531442528816e-06,8.868042995514268e-08,5.872400480050353e-10,2.9220851961257043e-09,0.17736085991028536,0.028199267105201795,-0.0572728698440638,8.344148904882008,7.196150482366946,8.592649149776788,8.346426515018564
0.1675,789129.0,-2.3140591123399926e-05,-2.18389767013013e-06,8.853922183774152e-08,5.869230951951115e-10,2.9233319270721564e-09,0.17707844367548303,0.028184047031269255,-0.05729730577061427,8.3553401898654,7.20749181509597,8.603761218140296,8.356888759353808
0.17250000000000001,746967.0,-2.2532015553485624e-05,-2.291146886209245e-06,8.851111166126038e-08,5.86391825627892e-10,2.9246510449123617e-09,0.17702222332252077,0.028158535466651372,-0.05732316048028229,8.372768345329465,7.2238583550979945,8.622813570428963,8.374964230247366
